proposal_id	surface_forms	corpus_frequency	intended_ontology	recommendation	preferred_label	definition	definition_sources	direct_parent_ids	part_of_ids	other_axioms	evidence_status	current_ontology_status	counterexample_or_caveat	curator_decision	curator_notes
MAP-CAND:woody	woody	113	FLOPO	map_existing	shoot axis ligneous			FLOPO:0900039		Use FLOPO:0900039 when woody describes the focal shoot axis; PATO:0002348 ligneous is the underlying quality but does not currently carry woody as an exact synonym.	pinned_ontology_and_corpus_context_checked	FLOPO:0900039 has woody as an exact synonym but lacks a textual definition and explicit EQ characterization.	Corpus uses include woody herb, woody shrub, and woody fruit/stem contexts; verify the bearer rather than attaching the shoot-axis phenotype blindly.		
MAP-CAND:rosette	rosette	44	PO	map_existing	rosette			PO:0025615		Map the anatomical entity to PO:0025615; construct a FLOPO assertion only after binding its qualities or relation to the focal plant.	pinned_ontology_definition_and_corpus_context_checked	PO:0025615 is a defined collective leaf structure; its exact preferred label is rosette.	Most corpus uses are basal leaf rosettes, but OCR and comparative prose still require mention-level verification.		
MAP-CAND:spike	spike	41	PO	sense_split	spike inflorescence			PO:0030117		Use PO:0030117 for the anatomical inflorescence and FLOPO:0900001 when the desired output is the corresponding inflorescence-type phenotype.	pinned_po_flopo_collision_and_corpus_context_checked	Both PO:0030117 spike inflorescence and FLOPO:0900001 inflorescence type spike are exact lexical candidates.	Spike can also occur in non-inflorescence compounds and OCR fragments; the PO/FLOPO collision is a representation choice, not evidence that both should be asserted automatically.		
MAP-CAND:head	head|heads	189	PO	sense_split	capitulum inflorescence			PO:0030121		Use PO:0030121 or FLOPO:0900005 only for the flower-head/capitulum sense; reject topographic head of wadi, road, or descent uses.	pinned_ontology_and_polysemy_checked	PO:0030121 has head as a BROAD synonym; FLOPO:0900005 has head as an exact synonym.	The corpus contains several topographic occurrences and generic rounded heads that may not satisfy the capitulum definition.		
MAP-CAND:capsule	capsule	5	PO	sense_split	capsule fruit			PO:0030091		Use PO:0030091 for the fruit entity and FLOPO:0900012 for the corresponding fruit-type phenotype.	pinned_po_flopo_collision_and_corpus_context_checked	Both PO:0030091 capsule fruit and FLOPO:0900012 fruit type capsule are exact lexical candidates.	Do not confuse a botanical capsule fruit with non-botanical capsule senses; extraction must also distinguish entity mention from phenotype assertion.		
MAP-CAND:berry	berry|berries	9	PO	sense_split	berry fruit			PO:0030108		Use PO:0030108 for the fruit entity and FLOPO:0900015 for the corresponding fruit-type phenotype.	pinned_po_flopo_collision_and_corpus_context_checked	Both PO:0030108 berry fruit and FLOPO:0900015 fruit type berry are exact lexical candidates.	A fruit called berry in vernacular prose may not meet the botanical definition; retain context and do not infer type from unrelated comparisons.		
MAP-CAND:cyme	cyme|cymes	3	PO	sense_split	cyme inflorescence			PO:0030126		Use PO:0030126 for the anatomical entity and FLOPO:0900006 for the corresponding inflorescence-type phenotype.	pinned_po_flopo_collision_and_corpus_context_checked	Both PO:0030126 cyme inflorescence and FLOPO:0900006 inflorescence type cyme are exact lexical candidates.	The corpus includes comparative statements about cyme shapes; the extractor must identify the focal bearer and assertion.		
MAP-CAND:capitulum	capitulum	1	PO	sense_split	capitulum inflorescence			PO:0030121		Use PO:0030121 for the entity and FLOPO:0900005 for its phenotype representation.	pinned_po_flopo_collision_and_corpus_context_checked	PO:0030121 and FLOPO:0900005 are both exact candidates after removing PO's editorial synonym-scope suffix.	The frozen occurrence is explanatory prose comparing a capitulum with a flower, not necessarily a phenotype assertion about the focal taxon.		
MAP-CAND:umbel	umbel|umbels	19	PO	sense_split	umbel inflorescence			PO:0030129		Use PO:0030129 for the anatomical entity and FLOPO:0900003 for the corresponding inflorescence-type phenotype.	pinned_po_flopo_collision_and_corpus_context_checked	Both PO:0030129 umbel inflorescence and FLOPO:0900003 inflorescence type umbel are exact lexical candidates.	The source context must still distinguish the entity from the phenotype class and from umbel-like arrangements.		
MAP-CAND:pod	pod|pods	1	PO	sense_split	pod fruit			PO:0030100|PO:0030105		Use PO:0030100 legume fruit or PO:0030105 follicle fruit only when morphology/taxon resolves the broad word pod; use FLOPO:0900013 only for the legume-phenotype sense.	pinned_scoped_synonyms_and_polysemy_checked	PO treats pod as NARROW for both legume fruit and follicle fruit; FLOPO:0900013 has pod as an exact synonym of fruit type legume.	Pod is not universally equivalent to legume fruit, so FLOPO's current exact synonym is too strong for unqualified normalization.		
MAP-CAND:radiating	radiating	17	PATO	map_existing	radiating			PATO:0005005		Map the shape quality to PATO:0005005 after binding the bearer.	pinned_ontology_definition_and_corpus_context_checked	PATO:0005005 is a current defined exact-label match.	The corpus predominantly describes stems expanding from a center; radiating energy or process senses would require rejection.		
MAP-CAND:fringed	fringed	11	PATO	map_existing	fringed			PATO:0040008		Map the edge-shape quality to PATO:0040008 after binding the bearer.	pinned_ontology_definition_and_corpus_context_checked	PATO:0040008 is a current defined exact-label match.	Some botanical fringes are hairs or appendages rather than textile-like threads; the current PATO definition should be checked for adequate biological breadth.		
MAP-CAND:pear_shaped	pear shaped|pear-shaped	3	PATO	map_existing	pear shaped			PATO:0005002		Map the shape quality to PATO:0005002 after binding the bearer.	pinned_ontology_definition_and_corpus_context_checked	PATO:0005002 is a current defined exact-label match.	One OCR-fragment context is incomplete; mapping the term does not validate the surrounding extraction.		
FLOPO-CAND:herb	herb|herbs	909	FLOPO	revise_existing	whole plant herbaceous	A whole-plant phenotype in which the plant is non-woody, usually with soft stems.	EVID:UPOV_TGP14	FLOPO:0900032		Add herb as an exact synonym of FLOPO:0022142 whole plant herbaceous rather than leaving only the non-discriminating broad mapping to PO:0000003.	definition_and_existing_logical_class_verified	FLOPO:0022142 already defines whole plant has-quality some PATO:0002352 herbaceous; PO:0000003 has herb only as a NARROW synonym.	Herb can occur in habitat or comparison prose, and some subshrubs are described informally as herbs; extraction still requires focal-taxon binding.		
SURFACE-CAND:width_measurement	wide	1238	PATO	contextual_composition	width measurement construction	A text construction in which wide links a numeric quantity and unit to the width attribute of a bearer.				When preceded by a numeric quantity, normalize to PATO:0000921 width plus the parsed value and unit, not to PATO:0000600 increased width; retain a separate closeMatch candidate for genuinely comparative wide.	corpus_context_quantified_2026_07_15	PATO:0000600 carries wide only as a RELATED synonym.	At least 1051 of 1201 raw whole-word occurrences (87.5%) match a conservative number-plus-unit pattern; treating these as increased width would discard the measurement and assert a comparison absent from the text.		
SURFACE-CAND:height_measurement	tall|high	892	PATO	contextual_composition	height measurement construction	A text construction in which tall or high links a numeric quantity and unit to the height attribute of a bearer.				When preceded by a numeric quantity, normalize to PATO:0000119 height plus the parsed value and unit, not to PATO:0000570 increased height; use context to reject altitude and non-focal uses.	corpus_context_quantified_2026_07_15	PATO:0000570 carries tall only as a RELATED synonym; high has no safe single lexical target in the current report.	The conservative number-plus-unit pattern covers 322 of 333 raw tall occurrences (96.7%) and 533 of 553 high occurrences (96.4%); high also frequently denotes altitude.		
MAP-CAND:decreased_size_words	small|tiny	401	PATO	map_existing	decreased size			PATO:0000587		Propose reviewed skos:closeMatch mappings while preserving PATO's RELATED synonym scope; bind the adjective to the focal botanical bearer before using it.	pinned_ontology_and_corpus_context_checked	PATO:0000587 has small and tiny as RELATED synonyms.	Small and tiny are context-dependent comparisons and also modify habitats or groups; do not convert them to absolute size ranges or accept every mention as a focal phenotype.		
MAP-CAND:narrow	narrow	179	PATO	map_existing	decreased width			PATO:0000599		Propose a reviewed skos:closeMatch while preserving PATO's RELATED synonym scope; use PATO:0000921 width with a number when an explicit measurement is supplied.	pinned_ontology_and_corpus_context_checked	PATO:0000599 has narrow as a RELATED synonym.	Narrow is relative to a comparison class and also modifies ravines and other habitat entities, so bearer binding is mandatory.		
MAP-CAND:large	large	157	PATO	map_existing	increased size			PATO:0000586		Propose a reviewed skos:closeMatch while preserving PATO's RELATED synonym scope and requiring focal-bearer binding.	pinned_ontology_and_corpus_context_checked	PATO:0000586 has large as a RELATED synonym.	Corpus uses include large groves, gullies, and other habitat objects; a lexical match alone is not a taxon phenotype.		
MAP-CAND:thick	thick	26	PATO	map_existing	increased thickness			PATO:0000591		Propose a reviewed skos:closeMatch while preserving PATO's RELATED synonym scope; route explicit numeric thickness to the thickness attribute and value instead.	pinned_ontology_and_corpus_context_checked	PATO:0000591 has thick as a RELATED synonym.	Thick may describe roots, leaves, stems, hair tufts, or a numeric measurement, so the bearer and construction must be retained.		
MAP-CAND:thin	thin	16	PATO	map_existing	decreased thickness			PATO:0000592		Propose a reviewed skos:closeMatch while preserving PATO's RELATED synonym scope; route explicit numeric thickness to the thickness attribute and value instead.	pinned_ontology_and_corpus_context_checked	PATO:0000592 has thin as a RELATED synonym.	Thin can express thickness, width, sparseness, or consistency; context must establish the intended attribute.		
PATO-CAND:botanical_pubescent	pubescent|pubescence|downy	75	PATO	revise_existing	botanically pubescent	A pilosity quality inhering in a bearer by virtue of the bearer being covered with short hairs or soft down.	EVID:UPOV_TGP14|EVID:AOS_DOWNY	PATO:0000454		Use and revise PATO:0001320; add botanical pubescent/pubescence and downy as synonyms, and never map the botanical sense to PATO:0000455. Prepare a FLOPO signature migration from PATO:0000455 to PATO:0001320 for all affected pubescent phenotypes.	definition_and_homonym_verified	PATO:0001320 already has essentially this definition and is a child of hairy; PATO:0000455 is a maturity quality meaning onset of sexual puberty.	Downy emphasizes especially short, weak, soft hairs and may merit a narrower subclass if curators require that distinction; the migration itself is unambiguous because all affected FLOPO bearers are plant structures.		
NOISE:saudi_habitat_geology	crevice|sandstone|limestone|foot|shade|halfway|buttes|stony|salt flats	377	NONE	reject_as_noise						Exclude these surface hits from phenotype normalization when their concordance is a substrate, geological feature, illumination environment, or locality phrase; retain the text for ecological or provenance extraction.	full_saudi_corpus_concordance_checked_2026_07_15	These misses are not evidence of missing PO, PATO, or FLOPO classes for the phenotype task.	The same words can have anatomical or quality senses in another corpus, so rejection must be construction- and context-specific rather than a global stop-word rule.		
NOISE:saudi_population_abundance	abundant	61	NONE	reject_as_noise						Exclude current uses such as locally abundant, nowhere abundant, and abundant in a region from individual-plant phenotype extraction; retain them for population or occurrence modeling.	full_saudi_corpus_concordance_checked_2026_07_15	The Saudi uses express population abundance or geographic occurrence rather than a quality of a focal plant structure.	Abundant hairs, flowers, or other bearer-bound parts could express a phenotype in future text and must not be rejected by token alone.		
SURFACE-CAND:compound_suffix_fragments	stemmed|leaved|flowered|seeded|foliolate|shaped|topped|edged|tubed	257	FLOPO	contextual_composition	botanical compound construction	A text construction in which a botanical head or suffix combines with one or more preceding modifiers to describe the entity, number, shape, colour, or other quality of a bearer.				Parse the complete compound, including hyphen-separated and OCR-separated forms, then normalize its head and modifiers compositionally; do not coin a class or value for the isolated suffix fragment.	full_saudi_corpus_concordance_checked_2026_07_15	The current misses are chiefly fragments of forms such as weak-stemmed, fleshy-leaved, two-seeded, mango-shaped, red-edged, and long-tubed.	Foliolate and similar adjectives can be legitimate full terms in other constructions; preserve the exact source span and only apply this treatment when the larger compound is recoverable.		
SURFACE-CAND:degree_modifiers	sparsely|strongly|faintly|coarsely|tightly|barely|abruptly	86	FLOPO	contextual_composition	quality degree or manner construction	A text construction in which an adverb modifies the degree, density, manner, or transition of an explicitly stated botanical quality.				Attach the modifier to the quality in the same syntactic construction, for example sparsely branched or strongly reflexed; do not normalize the adverb as a standalone phenotype value.	full_saudi_corpus_concordance_checked_2026_07_15	The current registry treats these modifiers as isolated missing surfaces even though their semantics depend on the modified quality.	Some modifiers require different models: sparsely may change density, abruptly may describe a transition, and barely may fall below an assertion threshold; one generic PATO class would conflate them.		
