proposal_key	current_id	action	model_role	preferred_label	textual_definition	asserted_parents	logical_pattern_or_constraint	evidence	migration_note	curator_decision	curator_notes
VOCAB:quality_root	PATO:0000001	reuse_imported_support_root	support_vocabulary_root	quality (PATO characteristic)	The imported hierarchy of characteristics used to describe an entity, process, or aspect of an entity or process.		Do not place PATO classes or FLOPO-local PATO extensions below flora phenotype; they remain characteristics and serve as fillers in phenotype definitions.	PATO:0000001	Replace the proposed phenotypic-aspect facet with the actual PATO hierarchy. No new FLOPO quality root is minted.		
VOCAB:continuant_quality_root	PATO:0001241	reuse_imported_support_branch	support_vocabulary_branch	physical object characteristic	A characteristic that inheres in a single physical object.	PATO:0000001	Morphology, colour, texture, disposition, relational qualities, cardinality, and local extensions remain in their appropriate PATO branches.	PATO:0001241; PATO hierarchy	Use PATO ancestry or queries over logical fillers for quality-based navigation rather than duplicating morphology and appearance phenotype branches.		
VOCAB:process_quality_root	PATO:0001236	reuse_imported_support_branch	support_vocabulary_branch	process characteristic	A characteristic that inheres in a process.	PATO:0000001	Use only as a characteristic of a GO process through RO:0000053, never as a characteristic of the participating plant continuant.	PATO:0001236	Local process-characteristic extensions are parented here or under a more specific PATO descendant.		
VOCAB:biological_process_root	GO:0008150	add_pinned_support_module	support_vocabulary_root	biological process	A process specifically pertinent to the functioning of integrated living units, with a defined beginning and end.		Build a pinned GO module containing every referenced biological-process class and its required ancestors; do not place GO classes below flora phenotype.	GO:0008150; Gene Ontology documentation	The released FLOPO currently imports PO and PATO but contains no GO class; add GO support only after module and reasoner validation.		
VOCAB:local_process_extension_policy		new_extension_policy	extension_policy	FLOPO-local biological process extension	A provisional biological-process class needed for flora annotation when no current GO class has the required meaning.	GO:0008150 or closest GO descendant	Give the class a FLOPO IRI but assert it below the closest GO process class, cite a definition, mark it as local/provisional, and request an upstream GO class when the concept is broadly reusable.	GO term guidance; OBO term-stability policy	This is a modeling policy, not a superclass named FLOPO extension and not a phenotype class.		
LOCAL:trifoliolate_quality		new_support_class	supporting_quality	trifoliolate	A relational cardinality quality inhering in a compound leaf by virtue of the leaf having exactly three leaflets.	PATO:0001555	Toward PO:0020049 leaflet; local support class, not a new PO anatomical entity.	EVID:NYBG_TRIFOLIOLATE; EVID:PLANTNET_TU	Mark as FLOPO-local with an editorial annotation, not by inventing a biological superclass called FLOPO extension.		
LOCAL:trifoliolate_leaf	FLOPO:0900067	revise_existing	phenotype	trifoliolate leaf phenotype	A leaf phenotype in which the bearer is a compound leaf with exactly three leaflets.	FLOPO:0000004	RO:0002180 has component exactly 3 PO:0020049 and bearer RO:0000053 has characteristic some LOCAL:trifoliolate_quality; remove FLOPO:0000149 leaf shape parent.	EVID:NYBG_TRIFOLIOLATE; EVID:PLANTNET_TU	Correct in place because the intended botanical referent remains unchanged; quality-based navigation follows the PATO filler.		""
LOCAL:bifoliolate_quality		new_support_class	supporting_quality	bifoliolate	A relational cardinality quality inhering in a compound leaf by virtue of the leaf having exactly two leaflets.	PATO:0001555	Toward PO:0020049 leaflet; local support class.	EVID:FLORA_AUSTRALIA_TERMS	New FLOPO-local quality.		
LOCAL:bifoliolate_leaf		new_phenotype_class	phenotype	bifoliolate leaf phenotype	A leaf phenotype in which the bearer is a compound leaf with exactly two leaflets.	FLOPO:0000004	RO:0002180 has component exactly 2 PO:0020049 and bearer RO:0000053 has characteristic some LOCAL:bifoliolate_quality.	EVID:FLORA_AUSTRALIA_TERMS	New FLOPO phenotype; no PO class request. Quality-based navigation follows the PATO filler.		""
LOCAL:stinging_disposition		new_support_class	supporting_quality	stinging	A disposition inhering in a plant structure by virtue of its capacity to deliver an irritating portion of plant substance to an animal when contacted or broken.	PATO:0001727	Do not equate the disposition with being sharp, hollow, glandular, or poisonous; those require independent evidence.	EVID:PLANTNET_S	New FLOPO-local quality.		
LOCAL:stinging_trichome		new_phenotype_class	phenotype	stinging trichome phenotype	A trichome phenotype in which the trichome has the disposition to deliver an irritating portion of plant substance to an animal upon contact or breakage.	FLOPO:0000355	Target PO:0000282 trichome RO:0000053 has characteristic some LOCAL:stinging_disposition; do not assert universal PO:0004509 glandular-trichome parent.	EVID:PLANTNET_S	New FLOPO phenotype; no PO class request. Quality-based navigation follows the PATO disposition filler.		
LOCAL:foliage_entity		new_support_class	supporting_entity	foliage	A plant anatomical entity consisting of the leaves borne by one whole plant or shoot system at a specified time, considered collectively.	PO:0025131	BFO:0000115 has member part some PO:0025034 leaf and BFO:0000115 has member part only PO:0025034 leaf; do not require adjacency or connectedness.	EVID:RHS_FOLIAGE; BFO:0000115	New FLOPO-local entity because PO's available collective-structure parent is too restrictive.		
LOCAL:foliage_phenotype		new_phenotype_branch	phenotype	foliage phenotype	A plant material aggregate phenotype whose distinguishing feature concerns foliage or one of its member leaves.	TOP:plant_material_aggregate_phenotype	Use LOCAL:foliage_entity as target after the membership pattern is validated.	EVID:RHS_FOLIAGE	New FLOPO branch.		
LOCAL:plant_latex_entity		new_support_class	supporting_entity	plant latex	A portion of plant substance that is the cytoplasmic fluid of laticifer cells, commonly containing particles suspended or emulsified in an aqueous phase and capable of exuding when laticiferous tissue is damaged.	PO:0025161	Keep distinct from PO:0025538 plant sap. Avoid universal colour, milkiness, stickiness, or current-location-in-laticifer restrictions.	EVID:LATICIFER_CELLS; EVID:PLANTNET_IL	New FLOPO-local entity supporting the existing latex phenotype branch.		
LOCAL:latex_phenotype	FLOPO:0900048	revise_existing	phenotype	plant latex phenotype	A portion of plant substance phenotype whose distinguishing feature concerns plant latex.	FLOPO:0900047	Use LOCAL:plant_latex_entity as target; develop FLOPO:0900049--0900051 with explicit presence and absence semantics.	EVID:LATICIFER_CELLS; EVID:PLANTNET_IL	Repair existing branch in place; no duplicate phenotype class.		
LOCAL:whole_plant_growth_form	FLOPO:0900032	revise_existing	phenotype_branch	whole plant growth form	A whole-plant phenotype distinguished by the characteristic architecture, support habit, or persistence of the whole plant and its principal shoot system.	FLOPO:0000089	Existing arborescent, frutescent, lianescent, and herbaceous descendants require evidence-backed definitions and sense separation; retain their PATO characteristics and external relata explicitly in logical definitions.	EVID:CLIMBING_TERMINOLOGY; botanical glossary evidence	Develop the existing branch rather than coin atomic PO or PATO growth-form entities; derive quality-based views from logical fillers.		
