row_id	action	target	label	parent	axiom	entity	quality	definition	definition_sources	synonyms	rationale	curator_decision	curator_notes
GF-L15	logical_axiom	FLOPO:0900035	whole plant lianescent		SubClassOf	PO:0000003	FLOPO:0985011				Necessary only: woody climbers (approved FLOPO-CAND:liana) are perennial. Its released ligneous shoot-axis axiom is kept.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L16	logical_axiom	FLOPO:0900039	shoot axis ligneous		EquivalentTo	PO:0025029	PATO:0002348				Necessary and sufficient restatement of its approved definition (MAP-CAND:woody). No other FLOPO class has signature EQ|PO_0025029|PATO_0002348.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L17	logical_axiom	FLOPO:0900042	tissue succulent		EquivalentTo	PO:0009007	PATO:0104019				Its definition and dcterms:source already name PATO:0104019 succulent (a water-storage composition quality). No other FLOPO class has signature EQ|PO_0009007|PATO_0104019.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L18	logical_axiom	FLOPO:0900023	whole plant therophytic		SubClassOf	PO:0000003	FLOPO:0985010				Necessary only: a therophyte completes its life cycle within one favourable season and survives only as seed.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L19	logical_axiom	FLOPO:0900028	whole plant chamaephytic		SubClassOf	PO:0000003	FLOPO:0985011				Necessary only: chamaephyte perennating buds are borne on persistent shoots.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L20	logical_axiom	FLOPO:0900029	whole plant phanerophytic		SubClassOf	PO:0000003	FLOPO:0985011				Necessary only: phanerophyte perennating buds are borne on persistent aerial shoots.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-X01	disjoint_qualities	FLOPO:0985010|GF:biennial_life_span|FLOPO:0985011	annual, biennial and perennial life span								The approved numeric boundaries (at most one year; more than one and at most two years; more than two years) partition life span. Because phenotypes use has_part some (whole plant and ...), a taxon described as annual or perennial stays satisfiable.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-D01	revise_definition	FLOPO:0980072	whole plant biennial					A whole plant lifestyle phenotype in which the plant has a biennial life span, its expected natural life span from germination to death being more than one year and no more than two years; it typically grows vegetatively in the first year and flowers and fruits in the second.	EVID:FLORA_AUSTRALIA_HABIT|EVID:NYBG_ANNUAL		Aligns the OBO QC definition (less than two years) with GF-Q01 so that text and equivalence agree.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-D02	revise_definition	FLOPO:0980073	whole plant perennial					A whole plant lifestyle phenotype in which the plant has a perennial life span, its expected natural life span being more than two years; it usually flowers and fruits repeatedly.	EVID:NYBG_PERENNIAL|EVID:FLORA_AUSTRALIA_HABIT		The OBO QC definition (life span over more than one growing season) also covers biennials and contradicts the approved perennial life span (more than two years).	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-N01	no_logical_definition	FLOPO:0985031	whole plant climbing phenotype								Curator decision on FLOPO-CAND:climber (accept_with_revision 2026-09-18): keep primitive until a relation to an external support is selected.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-N02	no_logical_definition	FLOPO:0985032	whole plant vine phenotype								Not woody is a negation (outside EL); PATO:0002352 herbaceous is the die-back homonym, so it must not be used.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-N03	no_logical_definition	FLOPO:0900030	whole plant epiphytic								Relational (grows on another plant without parasitism). Needs RO:0008501 epiphyte of plus a host; no PATO quality fits.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-N04	no_logical_definition	FLOPO:0022142	whole plant herbaceous								Already EQ: PO:0000003 + PATO:0002352 (die-back sense), in botanical extension 2.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-N05	no_logical_definition	FLOPO:0005767	whole plant evergreen (plant)								Already EQ: PO:0000003 + PATO:0001733.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-N06	no_logical_definition	PATO:0001731	whole plant deciduous								No FLOPO class exists. The pair PO_0000003 x PATO_0001731 is curator-approved (2026-09-18); the reviewed-combinations pipeline mints the EQ class. No local quality is needed.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-N07	no_logical_definition	PATO:0104019	whole plant succulent								No FLOPO class exists. The pair PO_0000003 x PATO_0104019 is curator-approved (2026-09-18); the reviewed-combinations pipeline mints the EQ class.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-N08	no_logical_definition	FLOPO:0900036|FLOPO:0900037	whole plant graminoid / forbacious								Stay under whole plant herbaceous. Grass-like and forb need taxon or resemblance context (SURFACE-CAND:grass_context); no quality.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-N09	no_logical_definition	FLOPO:0900024|FLOPO:0900025|FLOPO:0900026|FLOPO:0900027|FLOPO:0900031	Raunkiaer cryptophyte and hemicryptophyte classes								Many hemicryptophytes and some geophytes are biennial, so no life-span axiom; bud position relative to soil has no PATO quality.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
